分类,规则,中文释义,上游说明,BAD 示例,GOOD 示例,对立规则,可快速修复,初筛分组,建议讨论方式,会议结论,负责人,备注,来源链接
Widget 偏好,prefer_container_over_sizedbox,简单布局场景也优先统一使用 `Container`。,Prefer Container for consistency,"SizedBox(width: 100, height: 50)","Container(width: 100, height: 50)",prefer_sizedbox_over_container,否,二选一,放入会议投票，必须和对立规则一起决策。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_container_over_sizedbox
Widget 偏好,prefer_edgeinsets_only,边距优先显式写成 `EdgeInsets.only`。,Use EdgeInsets.only for explicit values,,,prefer_edgeinsets_symmetric,否,二选一,放入会议投票，必须和对立规则一起决策。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_edgeinsets_only
Widget 偏好,prefer_edgeinsets_symmetric,对称边距优先使用 `EdgeInsets.symmetric`。,Use EdgeInsets.symmetric when applicable,,,prefer_edgeinsets_only,否,二选一,放入会议投票，必须和对立规则一起决策。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_edgeinsets_symmetric
Widget 偏好,prefer_expanded_over_flexible,等分拉伸场景优先使用 `Expanded`。,Use Expanded instead of Flexible(flex: 1),,,prefer_flexible_over_expanded,否,二选一,放入会议投票，必须和对立规则一起决策。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_expanded_over_flexible
Widget 偏好,prefer_explicit_colors,颜色优先直接显式指定。,Use explicit color values,,,prefer_material_theme_colors,否,二选一,放入会议投票，必须和对立规则一起决策。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_explicit_colors
Widget 偏好,prefer_flexible_over_expanded,拉伸布局优先使用 `Flexible` 表达控制意图。,Prefer Flexible for explicit control,,,prefer_expanded_over_flexible,否,二选一,放入会议投票，必须和对立规则一起决策。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_flexible_over_expanded
Widget 偏好,prefer_material_theme_colors,颜色优先从主题中读取。,Use Theme.of(context) colors,,,prefer_explicit_colors,否,二选一,放入会议投票，必须和对立规则一起决策。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_material_theme_colors
Widget 偏好,prefer_richtext_over_text_rich,富文本优先直接使用 `RichText`。,Use RichText over Text.rich,,,prefer_text_rich_over_richtext,否,二选一,放入会议投票，必须和对立规则一起决策。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_richtext_over_text_rich
Widget 偏好,prefer_sizedbox_over_container,简单尺寸占位优先使用 `SizedBox`。,Use SizedBox for simple sizing,"Container(width: 100, height: 50)","SizedBox(width: 100, height: 50)",prefer_container_over_sizedbox,否,二选一,放入会议投票，必须和对立规则一起决策。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_sizedbox_over_container
Widget 偏好,prefer_text_rich_over_richtext,富文本优先使用 `Text.rich`。,Use Text.rich over RichText widget,,,prefer_richtext_over_text_rich,否,二选一,放入会议投票，必须和对立规则一起决策。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_text_rich_over_richtext
Widget 偏好,prefer_borderradius_circular,统一圆角优先使用 `BorderRadius.circular`。,Use BorderRadius.circular for uniform corners,,,,否,通用候选,建议会前异步预投票，把有分歧项带入会议。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_borderradius_circular
Widget 偏好,prefer_clip_r_superellipse,圆角裁剪优先使用 `ClipRSuperellipse`。,Use ClipRSuperellipse over ClipRRect (quick fix),"ClipRRect(borderRadius: BorderRadius.circular(10), child: Image.network('url'))","ClipRSuperellipse(borderRadius: BorderRadius.circular(10), child: Image.network('url'))",,否,版本前提,先确认 Flutter 或 SDK 版本，再决定是否纳入候选。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_clip_r_superellipse
Widget 偏好,prefer_clip_r_superellipse_clipper,带自定义裁剪时也优先使用 `ClipRSuperellipse`。,Use ClipRSuperellipse over ClipRRect with custom clipper,"ClipRRect(borderRadius: BorderRadius.circular(10), child: Image.network('url'))","ClipRSuperellipse(borderRadius: BorderRadius.circular(10), child: Image.network('url'))",,否,版本前提,先确认 Flutter 或 SDK 版本，再决定是否纳入候选。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_clip_r_superellipse_clipper
异常处理与测试,prefer_catch_over_on,try-catch 优先使用裸 `catch (e)`。,Use bare `catch (e)`,,,prefer_on_over_catch,否,二选一,放入会议投票，必须和对立规则一起决策。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_catch_over_on
异常处理与测试,prefer_error_suffix,异常类命名以 `Error` 结尾。,"Exception classes end with ""Error""",,,prefer_exception_suffix,否,二选一,放入会议投票，必须和对立规则一起决策。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_error_suffix
异常处理与测试,prefer_exception_suffix,异常类命名以 `Exception` 结尾。,"Exception classes end with ""Exception""",,,prefer_error_suffix,否,二选一,放入会议投票，必须和对立规则一起决策。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_exception_suffix
异常处理与测试,prefer_generic_exception,抛错时统一使用通用 `Exception`。,Use generic Exception class,,,prefer_specific_exceptions,否,二选一,放入会议投票，必须和对立规则一起决策。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_generic_exception
异常处理与测试,prefer_given_when_then_comments,测试中使用 Arrange/Act/Assert 或 Given/When/Then 注释。,Use AAA/GWT comments in tests,"test('user login', () { final user = User('test@example.com'); final result = authService.login(user); expect(result.isSuccess, true); })","test('user login', () { // Arrange ... // Act ... // Assert ... })",prefer_self_documenting_tests,否,二选一,放入会议投票，必须和对立规则一起决策。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_given_when_then_comments
异常处理与测试,prefer_grouped_expectations,相关断言允许集中写在一个测试里。,Group related assertions,,,prefer_single_expectation_per_test,否,二选一,放入会议投票，必须和对立规则一起决策。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_grouped_expectations
异常处理与测试,prefer_on_over_catch,try-catch 优先使用 `on 类型` 形式。,Use `on ExceptionType` in try-catch,,,prefer_catch_over_on,否,二选一,放入会议投票，必须和对立规则一起决策。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_on_over_catch
异常处理与测试,prefer_self_documenting_tests,测试代码依靠命名和结构自解释，不额外写结构注释。,No structure comments in tests,"test('user login', () { // Arrange ... // Act ... // Assert ... })","test('user login', () { final user = User('test@example.com'); final result = authService.login(user); expect(result.isSuccess, true); })",prefer_given_when_then_comments,否,二选一,放入会议投票，必须和对立规则一起决策。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_self_documenting_tests
异常处理与测试,prefer_single_expectation_per_test,每个测试尽量只保留一个断言目标。,One assertion per test,,,prefer_grouped_expectations,否,二选一,放入会议投票，必须和对立规则一起决策。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_single_expectation_per_test
异常处理与测试,prefer_specific_exceptions,抛错时优先使用具体异常类型。,Throw specific exception types,,,prefer_generic_exception,否,二选一,放入会议投票，必须和对立规则一起决策。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_specific_exceptions
异常处理与测试,prefer_test_name_descriptive,测试名采用自然描述式命名。,Descriptive test names,,,prefer_test_name_should_when,否,二选一,放入会议投票，必须和对立规则一起决策。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_test_name_descriptive
异常处理与测试,prefer_test_name_should_when,测试名采用 `should ... when ...` 句式。,"Test names: ""should X when Y""",,,prefer_test_name_descriptive,否,二选一,放入会议投票，必须和对立规则一起决策。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_test_name_should_when
异常处理与测试,prefer_expect_over_assert_in_tests,测试断言优先使用 `expect()`。,Use expect() instead of assert(),,,,否,通用候选,建议会前异步预投票，把有分歧项带入会议。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_expect_over_assert_in_tests
控制流与异步,prefer_switch_expression,分支表达优先使用 switch expression。,Use switch expressions (Dart 3),,,prefer_switch_statement,否,二选一,放入会议投票，必须和对立规则一起决策。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_switch_expression
控制流与异步,prefer_switch_statement,分支表达优先使用传统 switch statement。,Use switch statements,,,prefer_switch_expression,否,二选一,放入会议投票，必须和对立规则一起决策。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_switch_statement
空值与集合处理,prefer_addall_over_spread,集合追加元素优先使用 `addAll()`。,Use addAll method,,,prefer_spread_over_addall,否,二选一,放入会议投票，必须和对立规则一起决策。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_addall_over_spread
空值与集合处理,prefer_spread_over_addall,集合拼接优先使用展开运算符 `...`。,Use `...` spread operator,,,prefer_addall_over_spread,否,二选一,放入会议投票，必须和对立规则一起决策。,待定,,,https://github.com/saropa/saropa_lints/blob/main/README_STYLISTIC.md#prefer_spread_over_addall
